POPNAMES_PT;GENPOPN_PT;POPNAMES_EN;GENPOPN_EN;RISK;COD_MAM;ORDER;COD01;SUBORDER;COD02;INFRAORDER;COD03;SUPERFAMILY;COD04;FAMILY;COD05;SUBFAMILY;COD06;TRIBE;COD07;GENRE;COD08;SUBGENRE;COD09;SPECIES;COD10;POPNAME_PT01;POPNAME_PT02;POPNAME_PT03;POPNAME_PT04;POPNAME_EN01;POPNAME_EN02;POPNAME_EN03;POPNAMEENG04;LINKWIKIENG;STDLINK;SEQ_ID;COUNT
Équidna-ouriço,Équidna-de-bico-curto,;Équidna;Short-beaked Echidna,Spiny Anteater,,;Echidna;1;;Monotremata;10;;0;;0;;0;Tachyglossidae;10;;0;;0;Tachyglossus;100;;0;aculeatus;100;Équidna-ouriço;Équidna-de-bico-curto;;;Short-beaked Echidna;Spiny Anteater;;;http://en.wikipedia.org/wiki/Short-beaked_Echidna;0;1;1
Équidna-de-attenborough,Zaglosso-de-attenborough,;Équidna;Sir David's Long-beaked Echidna,Attenborough's Long-beaked Echidna,Cyclops Long-beaked Echidna,;Echidna;1;;Monotremata;10;;0;;0;;0;Tachyglossidae;10;;0;;0;Zaglossus;101;;0;attenboroughi;100;Équidna-de-attenborough;Zaglosso-de-attenborough;;;Sir David's Long-beaked Echidna;Attenborough's Long-beaked Echidna;Cyclops Long-beaked Echidna;;http://en.wikipedia.org/wiki/Sir_David%27s_Long-beaked_Echidna;0;2;1
Équidna-de-barton,Zaglosso-de-barton,;Équidna;Eastern Long-beaked Echidna,Barton's Long-beaked Echidna,,;Echidna;1;;Monotremata;10;;0;;0;;0;Tachyglossidae;10;;0;;0;Zaglossus;101;;0;bartoni;101;Équidna-de-barton;Zaglosso-de-barton;;;Eastern Long-beaked Echidna;Barton's Long-beaked Echidna;;;http://en.wikipedia.org/wiki/Eastern_Long-beaked_Echidna;0;3;1
Zaglosso,Équidna-de-bico-longo,;;Western Long-beaked Echidna,,,;;1;;Monotremata;10;;0;;0;;0;Tachyglossidae;10;;0;;0;Zaglossus;101;;0;bruijni;102;Zaglosso;Équidna-de-bico-longo;;;Western Long-beaked Echidna;;;;http://en.wikipedia.org/wiki/Western_Long-beaked_Echidna;0;4;1
Ornitorrinco,,;;Platypus,,,;;1;;Monotremata;10;;0;;0;;0;Ornithorhynchidae;11;;0;;0;Ornithorhynchus;100;;0;anatinus;100;Ornitorrinco;;;;Platypus;;;;http://en.wikipedia.org/wiki/Platypus;0;5;1
[Cuíca],,;;Bare-tailed Woolly Opossum,White-eared Opossum,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Caluromyinae;1;;0;Caluromys;100;Caluromys;1;philander;100;[Cuíca];;;;Bare-tailed Woolly Opossum;White-eared Opossum;;;http://en.wikipedia.org/wiki/Bare-tailed_Woolly_Opossum;0;6;1
[Cuíca],,;;Central American Woolly Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Caluromyinae;1;;0;Caluromys;100;Mallodelphys;2;derbianus;100;[Cuíca];;;;Central American Woolly Opossum;;;;http://en.wikipedia.org/wiki/Derby%27s_Woolly_Opossum;0;7;1
Cuíca-lanosa,,;;Brown-eared Woolly Opossum,Ecuadoran Woolly Opossum,Western Woolly Opossum,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Caluromyinae;1;;0;Caluromys;100;Mallodelphys;2;lanatus;101;Cuíca-lanosa;;;;Brown-eared Woolly Opossum;Ecuadoran Woolly Opossum;Western Woolly Opossum;;http://en.wikipedia.org/wiki/Brown-eared_Woolly_Opossum;0;8;1
Cuíca-de-colete ,,;;Black-shouldered Opossum,White-eared Opossum,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Caluromyinae;1;;0;Caluromysiops;101;;0;irrupta;100;Cuíca-de-colete ;;;;Black-shouldered Opossum;White-eared Opossum;;;http://en.wikipedia.org/wiki/Black-shouldered_Opossum;0;9;1
[Cuíca],,;;Bushy-tailed Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Caluromyinae;1;;0;Glironia;102;;0;venusta;100;[Cuíca];;;;Bushy-tailed Opossum;;;;http://en.wikipedia.org/wiki/Bushy-tailed_Opossum;0;10;1
Cuíca-d'água,,;;Water Opossum,Yapok,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Chironectes;100;;0;minimus;100;Cuíca-d'água;;;;Water Opossum;Yapok;;;http://en.wikipedia.org/wiki/Water_Opossum;0;11;1
Gambá-de-orelha-preta,,;;Big-eared Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Didelphis;101;;0;aurita;100;Gambá-de-orelha-preta;;;;Big-eared Opossum;;;;http://en.wikipedia.org/wiki/Big-eared_Opossum;0;12;1
[Gambá],,;;Guianan White-eared Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Didelphis;101;;0;imperfecta;101;[Gambá];;;;Guianan White-eared Opossum;;;;http://en.wikipedia.org/wiki/Guianan_White-eared_Opossum;0;13;1
Gambá-comum,,;;Common Opossum,Manicou,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Didelphis;101;;0;marsupialis;102;Gambá-comum;;;;Common Opossum;Manicou;;;http://en.wikipedia.org/wiki/Common_Opossum;0;14;1
[Gambá],,;;Andean White-eared Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Didelphis;101;;0;pernigra;103;[Gambá];;;;Andean White-eared Opossum;;;;http://en.wikipedia.org/wiki/Andean_White-eared_Opossum;0;15;1
Gambá-da-Virgínia,,;;Virginia Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Didelphis;101;;0;virginiana;104;Gambá-da-Virgínia;;;;Virginia Opossum;;;;http://en.wikipedia.org/wiki/Virginia_Opossum;0;16;1
Gambá-de-orelha-branca,Timbu,;;White-eared Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Didelphis;101;;0;albiventris;105;Gambá-de-orelha-branca;Timbu;;;White-eared Opossum;;;;http://en.wikipedia.org/wiki/White-eared_Opossum;0;17;1
[Catita],[Guaiquica],[Cuíca];;Pygmy Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Gracilinanus;102;;0;formosus;100;[Catita];[Guaiquica];[Cuíca];;Pygmy Opossum;;;;http://en.wikipedia.org/wiki/Wikipedia:Missing_mammal_species;0;18;1
[Catita],[Guaiquica],[Cuíca];;Emilia's Gracile Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Gracilinanus;102;;0;emiliae;101;[Catita];[Guaiquica];[Cuíca];;Emilia's Gracile Opossum;;;;http://en.wikipedia.org/wiki/Emilia%27s_Gracile_Opossum;0;19;1
[Catita],[Guaiquica],[Cuíca];;Brazilian Gracile Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Gracilinanus;102;;0;microtarsus;102;[Catita];[Guaiquica];[Cuíca];;Brazilian Gracile Opossum;;;;http://en.wikipedia.org/wiki/Brazilian_Gracile_Opossum;0;20;1
[Catita],[Guaiquica],[Cuíca];;Northern Gracile Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Gracilinanus;102;;0;marica;103;[Catita];[Guaiquica];[Cuíca];;Northern Gracile Opossum;;;;http://en.wikipedia.org/wiki/Northern_Gracile_Opossum;0;21;1
[Catita],[Guaiquica],[Cuíca];;Wood Sprite Gracile Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Gracilinanus;102;;0;dryas;104;[Catita];[Guaiquica];[Cuíca];;Wood Sprite Gracile Opossum;;;;http://en.wikipedia.org/wiki/Wood_Sprite_Gracile_Opossum;0;22;1
[Catita],[Guaiquica],[Cuíca];;Aceramarca Gracile Mouse Opossum,Bolivian Gracile Opossum,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Gracilinanus;102;;0;aceramarcae;105;[Catita];[Guaiquica];[Cuíca];;Aceramarca Gracile Mouse Opossum;Bolivian Gracile Opossum;;;http://en.wikipedia.org/wiki/Aceramarca_Gracile_Opossum;0;23;1
[Catita],[Guaiquica],[Cuíca];;Agricola's Gracile Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Gracilinanus;102;;0;agricolai;106;[Catita];[Guaiquica];[Cuíca];;Agricola's Gracile Opossum;;;;http://www.biolib.cz/en/taxon/id299876/;0;24;1
[Catita],[Guaiquica],[Cuíca];;Agile Gracile Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Gracilinanus;102;;0;agilis;107;[Catita];[Guaiquica];[Cuíca];;Agile Gracile Opossum;;;;http://en.wikipedia.org/wiki/Agile_Gracile_Opossum;0;25;1
[Catita],[Guaiquica],[Cuíca];;Red-Bellied Gracile Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Gracilinanus;102;;0;ignitus;108;[Catita];[Guaiquica];[Cuíca];;Red-Bellied Gracile Opossum;;;;http://zipcodezoo.com/Animals/G/Gracilinanus_ignitus/default.asp;0;26;1
[Cuíca],,;;Kalinowski's Mouse Opossum,Peru Gracile Mouse Opossum,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Hyladelphys;103;;0;kalinowskii;100;[Cuíca];;;;Kalinowski's Mouse Opossum;Peru Gracile Mouse Opossum;;;http://en.wikipedia.org/wiki/Kalinowski's_Mouse_Opossum;0;27;1
[Gambá],,;;Patagonian Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Lestodelphys;104;;0;halli;100;[Gambá];;;;Patagonian Opossum;;;;http://en.wikipedia.org/wiki/Patagonian_Opossum;0;28;1
Cuíca-de-cauda-grossa,Cuíca-d'água-pequena,;;Lutrine Opossum,Little Water Opossum,Thick-tailed Opossum,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Lutreolina;105;;0;crassicaudata;100;Cuíca-de-cauda-grossa;Cuíca-d'água-pequena;;;Lutrine Opossum;Little Water Opossum;Thick-tailed Opossum;;http://en.wikipedia.org/wiki/Lutrine_Opossum;0;29;1
[Cuíca],,;;Linnaeus's Mouse Opossum,Common Mouse Opossum,Murine Mouse Opossum,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Marmosa;106;;0;murina;100;[Cuíca];;;;Linnaeus's Mouse Opossum;Common Mouse Opossum;Murine Mouse Opossum;;http://en.wikipedia.org/wiki/Linnaeus's_Mouse_Opossum;0;30;1
[Cuíca],,;;Guajira Mouse Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Marmosa;106;;0;xerophila;101;[Cuíca];;;;Guajira Mouse Opossum;;;;http://en.wikipedia.org/wiki/Guajira_Mouse_Opossum;0;31;1
[Cuíca],,;;Tyleria Mouse Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Marmosa;106;;0;tyleriana;102;[Cuíca];;;;Tyleria Mouse Opossum;;;;http://en.wikipedia.org/wiki/Tyleria_Mouse_Opossum;0;32;1
[Cuíca],[Guaiquica],;;Red Mouse Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Marmosa;106;;0;rubra;103;[Cuíca];[Guaiquica];;;Red Mouse Opossum;;;;http://en.wikipedia.org/wiki/Red_Mouse_Opossum;0;33;1
[Cuíca],,;;Quechuan Mouse Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Marmosa;106;;0;quichua;104;[Cuíca];;;;Quechuan Mouse Opossum;;;;http://en.wikipedia.org/wiki/Quechuan_Mouse_Opossum;0;34;1
[Cuíca],,;;Mexican Mouse Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Marmosa;106;;0;mexicana;105;[Cuíca];;;;Mexican Mouse Opossum;;;;http://en.wikipedia.org/wiki/Mexican_Mouse_Opossum;0;35;1
[Cuíca],,;;Rufous Mouse Opossum,,,;;1;;Didelphimorphia;11;;0;;0;;0;Didelphidae;10;Didelphinae;2;;0;Marmosa;106;;0;lepida;106;[Cuíca];;;;Rufous Mouse Opossum;;;;http://en.wikipedia.org/wiki/Rufous_Mouse_Opossum;0;36;1
